nome;tipologia;tel;email;web;link1;link2;tipoticket;datamodifica;abstract;descrizione;comune;codice_istat;provincia;datainizio;datafine;foto_con_autore
FEDERICUS 2016;semplice;(+39) 347-2490185 ;info@federicus.it; ;http://www.federicus.it/; ;gratis;02-mar-16;Con la quinta edizione di FEDERICUS si conclude il ciclo tematico Fede  laicita&#8217  Superstizione. La edizione 2016   sara&#8217  ricordata per la ricostruzione della porta che si apre su piazza Resistenza e conclude corso Federico II.;Con la quinta edizione di FEDERICUS si conclude il ciclo tematico Fede  laicita&#8217  Superstizione. La edizione 2016   sara&#8217  ricordata per la ricostruzione della porta che si apre su piazza Resistenza e conclude corso Federico II. Nel Medioevo fu detta &#8220 Porta Montiorum&#8221   posizionata a Sud in direzione Appennini lucani e della via Appia.Originariamente aveva la forma di un arco  sormontato da una costruzione. Nel XIII secolo tutto il pianoro fuori la porta prendeva il nome di &#8220 planitio Sancti Marci&#8221  dalla cappella di San Marco extra moenia ove si svolgeva una fiera  che divenne famosa e per molti anni fu frequentata dai mercanti di tutte le regioni del Regno di Napoli.&#13 &#10 In Piazza Matteotti  invece  saranno realizzate torri e tracce di muro in ricordo della cinta dell&#8217 antico castello che dovrebbe risalire all&#8217 epoca normanna  ossia prima dell&#8217 arrivo di Federico II di Svevia e della costruzione della cattedrale della Cattedrale dell&#8217 Assunta&#13 &#10 Da una pianta degli inizi del XVIII secolo  realizzata dall&#8217 architetto Donato Giannuzzi  si evince che il Castello e i suoi cortili occupavano un&#8217 area rettangolare di m. 67 per m. 55 con uno dei suoi lati maggiori coincidente alla misura del lato pi&#249  esteso del corpo edificato che si affaccia lungo l&#8217 attuale via Santa Teresa. Il sottosuolo conserva ancora le tracce delle sua fondamenta.;Altamura;72004;BA;23-apr-16;25-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11431 (I giullari) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11425**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11429 (Gli spettacoli) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11426 (Federicus nelle strade) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11427 (La corte dell'Imperatore) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11428 (La falconeria) **http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11430 (L'artigianato nel medioevo) 
SONGS OF LEAR;semplice;328.6917948;promozione@teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/stagione_rassegna/stagione-di-prosa-15-16-comune-di-bari_191.html ; ; ;pagamento;13-ott-15;&#200  un opera drammatica composta da energie sottili e ritmi travolgenti che governano la tragedia di Shakespeare. Bral ha scelto scene cruciali da Re ;&#200  un opera drammatica composta da energie sottili e ritmi travolgenti che governano la tragedia di Shakespeare. Bral ha scelto scene cruciali da Re Lear per tessere la storia come un mosaico di gesti  parole e musica.&#13 &#10 Ogni canzone &#232  il punto iniziale per un successivo poema drammatico. Qui la musica diventa carattere  relazione ed evento. Il processo creativo &#232  diviso in varie fasi: il concerto  l&#8217 oratorio e le canzoni  e la creazione dei componenti aggiunti come l&#8217 immagine visuale  il testo  la musica e i movimenti.&#13 &#10 &#13 &#10 Songs of the Goat Theatre&#13 &#10 &#13 &#10 musiche composte da Maciej Rycly e Jean-Claude Acquaviva  musiche eseguite dal vivo da Maciej Rycly  Rafael Kacper  Kacper Kuszewski  direttore musicale Kacper Kuszewski&#13 &#10 con Monika Dryl  Gabriel Gawin  Julianna Bloodgood  Emma Bonnici  Kacper Kuszewski  Rafal Habel  Anu Salonen  Ilenia Cipollari  Lukaz Wojcik  Paolo Garghentino&#13 &#10 regia GRZEGORZ BRAL;Bari;72006;BA;23-apr-16;24-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9392
Trasporto dell'icona di Maria SS di Sovereto dalla cattedrale di Terlizzi alla sua chiesetta a &#34 Sovereto&#34 ;semplice;3351349290;segreteria@festamaggiore.eu;http://www.festamaggiore.eu;http://www.festamaggiore.eu/web/la-festa-maggiore/il-23-aprile/; ;gratis;24-feb-16;Come ogni anno il 23 Aprile &#232  caratterizzato dal trasporto dell'icona di Maria SS di Sovereto dalla cattedrale di Terlizzi alla sua chiesetta a &#34 Sovereto&#34  eretta in Suo Onore dopo il ritrovamento.;Terlizzi  Sovereto e la pia leggenda del ritrovamento della Vergine&#13 &#10 La pia leggenda del ritrovamento  tramandata di padre in figlio  &#232  cos&#236  raccontata con fiorito garbo settecentesco da uno scrittore bitontino nei primi anni dell'Ottocento:&#13 &#10 &#34 Finiva un delizioso giorno di maggio con quel sorriso di cui si adorna il bel zaff&#236 ro di primavera. In uno dei punti piu belli del cielo italiano  nella fertile Japigia  il sol cadente allungava le ombre di un ameno sughereto sorgente lunghesso la strada  che credesi non altra da quella che menava da Roma a Brindisi. Erravano sbrancati i greggi nell'amena pianura  ed il fresco venticello che sembrava dalla Provvidenza mandato a temperear il caldo dell'adusta Puglia  librandosi dalle vette del Gargano  e scorrendo leggiero sull'onde dell'Adriatico rapiva ai prati le piu soavi essenze  per profumarne l'aere circostante a ristoro della vita.&#13 &#10 Ma la bellissima delle stagioni non &#232  che immagine della giovinezza  in cui la gajezza dei piaceri &#232  alternata all'orror degli affanni. Sollevaronsi d'ogni parte nugoli improvvisi e nasc&#242 ser importuni il sol cadente  i lampi stessi  il mugghio prima sordo poi rimbombante del tuono  i venti che fischiavan fra i rami  o che polverosi superb&#236 van per terra  insomma i consueti forieri de' convulsi elementi dicevano alla paura dei mortali esser imminente la tempesta. ;Terlizzi;72043;BA;23-apr-16;23-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11299**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11300**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11301**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11302**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11303**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11304**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11305**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11306**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11307**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11308**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11309**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11310
TERRA DEI MESSAPI  MITI ED EROI;semplice;328.3149259 - 0836.553718;teatro@comune.aradeo.le.it;http://www.teatropubblicopugliese.it/teatro/teatro-domenico-modugno_56.html;http://www.teatropubblicopugliese.it;http://www.comune.aradeo.le.it ;pagamento;05-feb-16;Compagnia Ora In Scena&#13 &#10 Coreografia Kalimba Studio Dance di Carmen Quaranta  aiuto regia Ornella Bongiorni&#13 &#10 con Giuliana Paciolla  Michele Bovino   ;Compagnia Ora In Scena&#13 &#10 Coreografia Kalimba Studio Dance di Carmen Quaranta  aiuto regia Ornella Bongiorni&#13 &#10 con Giuliana Paciolla  Michele Bovino   Tonio Rizzo  Florinda Caroppo  Davide Secli Pasquale Quaranta e Lucia Minutello&#13 &#10 regia PAOLO RAUSA&#13 &#10 &#13 &#10 La Messapia  la terra fra i mari  la terra degli ulivi  la terra dei cavalli &#232  raccontata  la figura del principe Arta di Manduryon che  ispirato dalla filosofia pitagorica e alleato del grande Pericle di Atene.;Aradeo;75006;LE;23-apr-16;23-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11121
La Regina DADA;semplice;0883332456;info@culturaemusica.it;http://www.culturaemusica.it;https://www.facebook.com/asscurci; ;pagamento;02-nov-15;Uno Stefano Bollani inedito con una intensa Valentina Cenni per uno spettacolo teatrale e musicale di alta suggestione e impatto.;LA REGINA DADA con STEFANO BOLLANI e VALENTINA CENNI scritto e interpretato da Stefano Bollani e Valentina Cenni  musiche Stefano Bollani - sound design Francesco Giomi. Regia del suono Francesco Canavese/Tempo Reale  light design Luigi Biondi  scenografie Andrea Stanisc  produzione Stefano Bollani  Pierfrancesco Pisani in collaborazione con Infinito srl.&#13 &#10 &#13 &#10 &#8220 Sin da quando sono nato  penso alla morte. Poi cresco e continuo a temerla. Ne parlo continuamente  passo il tempo ad averne paura e a cercare di evitarla. Ci penso cos&#236  tanto  alla morte  ma cos&#236  tanto che alla fine mi convinco davvero che devo morire&#8230 e finisce che muoio. Una liberazione. Ora  un popolo fatto di gente cos&#236  rischia l&#8217 estinzione. Sopravviviamo grazie agli eretici  gente che la pensa diversamente. Raramente gli eretici hanno visto delle regine schierate con loro. Ancor pi&#249  raramente  si sono viste regine di impronta dadaista. In un solo caso  poi  si &#232  avuta una regina insieme eretica e dadaista. E che ha come compagno di viaggio uno che usa la musica come un bruco userebbe un fungo per ripararsi dalla pioggia. Lavarsi i denti &#232  comunque un buon inizio di giornata. Su questo son d&#8217 accordo tutti  maggioranze e minoranze. Quindi la Regina Dada si lava i denti. E questo getta un&#8217 ombra sulla sua coerenza.&#8221 &#13 &#10 ;Barletta;110002;BT;24-apr-16;24-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9906**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9907
Arturo Brachetti e l'Orchestra della Magna Grecia in &#34 Allegro un p&#242  troppo&#34  al Teatro Petruzzelli;semplice;393 9639865;info@bassculture.it;http://www.bassculture.it;http://www.facebook.com/events/974571872611405; ;pagamento;01-mar-16;Concerto spettacolo di due grandi eccellenze del nostro Paese  note a livello internazionale: il pi&#249  grande attore-trasformista al mondo  Arturo Brachetti con l'Orchestra della Magna Grecia.&#13 &#10 ;&#34 &#200  la realt&#224  immaginata che ci rende pi&#249  felici&#34   questo il motto di Arturo Brachetti  il pi&#249  grande attore trasformista al mondo che torna a teatro con lo straordinario e imprevedibile show: &#8220 Allegro  un p&#242  troppo&#8221 . L&#8217 attore aprir&#224  il suo tour in esclusiva in Puglia e Basilicata  il prossimo 25 aprile al Teatro Petruzzelli di Bari  grazie a un evento organizzato dalla Fondazione Musicale Vincenzo Valente di Molfetta realizzato in collaborazione con l&#8217 Orchestra Ico della Magna Grecia.;Bari;72006;BA;25-apr-16;25-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11397
SUD_VISIONI;semplice;080-3484453 / 080-3494270; ;http://www.teatrorossinigioia.it ;http://www.teatropubblicopugliese.it;http://www.teatropubblicopugliese.it/teatro/teatro-rossini_27.html;pagamento;28-ott-15;MM Contemporary Dance Company&#13 &#10 Coreografia di MICHELE MEROLA&#13 &#10 &#13 &#10 Parte Prima &#8216 Affacciati sul Mare&#8217  con i danzatori pugliesi del laboratorio ;MM Contemporary Dance Company&#13 &#10 Coreografia di MICHELE MEROLA&#13 &#10 &#13 &#10 Parte Prima &#8216 Affacciati sul Mare&#8217  con i danzatori pugliesi del laboratorio coreografico&#13 &#10 &#13 &#10 Parte Seconda &#8216 A Cunzegna&#8217  con Paolo Lauri  Fabiana Lonardo  Enrico Morelli  Giovanni Napoli  Nicola Stasi  Lorenza Vicidomini&#13 &#10 &#13 &#10 Lo spettacolo si compone di due parti: la prima prevede una coreografia dal titolo AFFACCIATI SUL MARE  esito del laboratorio coreografico che Michele Merola terr&#224  nel mese di aprile 2016 con un gruppo di giovani danzatori pugliesi del territorio. Un&#8217 esplorazione che trae spunto dalle nostre origini  dai nostri ricordi di un passato che ci ha visto emigrare e ritornare. Il nostro Sud  specchio di una nazione che si ritrova parte di un&#8217 Europa  che a volte vede sconosciuta e lontana.&#13 &#10 La seconda parte vede in scena MM Contemporary Dance Company con A CUNZEGNA un affresco dai colori forti dove il gesto se pur contemporaneo  rimanda alla tradizione del sud italia  alla spensieratezza e ai giochi della seduzione  dove tradizione e modernit&#224  si ritrovano e si fondono insieme.&#13 &#10 Entrambi i lavori affrontano da diversi punti di vista e secondo differenti prospettive il tema del Sud  componendo un affresco a tutto tondo della nostra terra  attraverso una danza fortemente evocativa.;Gioia del Colle;72021;BA;26-apr-16;26-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=9831
CARMINA BURANA - Balletto del Sud;semplice;0832242000 ;info@teatrokoreja.it;http://www.teatrokoreja.it/koreja/home.php;https://www.facebook.com/cantieriteatralikoreja/?fref=ts; ;pagamento;23-nov-15;Per creare la sua versione dei Carmina Burana il coreografo Fredy Franzutti  oggi uno dei pi&#249  noti nel panorama nazionale  prende come ispirazione ;Per creare la sua versione dei Carmina Burana il coreografo Fredy Franzutti  oggi uno dei pi&#249  noti nel panorama nazionale  prende come ispirazione quella originale del testo e realizza  con successo  una rappresentazione che ha per soggetto il traumatico passaggio dalla post-adolescenza alla maturit&#224 . Tale soggetto &#232  reso spettacolo realizzando le idee e le immagini fantastiche di quei giovani. Il mito del gotico tenebroso  citato dalla popolare musica di Carl Orff  evocativo del male nella sua forma pi&#249  superstiziosa  ci riporta a rappresentazioni di societ&#224  moralmente corrotte che con spregiudicatezza resistono alla paura della punizione divina. Lo spettacolo &#232 &#13 &#10 una delle pi&#249  belle trasposizioni coreografiche di Orff in cui la fantasia diviene forza comunicativa.;Lecce;75035;LE;28-apr-16;01-mag-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10176
Festa Patronale in Onore del Santo Patrono San Biagio ;rassegna;3478053338;g.scarciglia@libero.it;http://festasanbiagioavetrana.it;https://www.facebook.com/Comitato-SBiagio-Avetrana-139991909521667/?fref=ts; ;gratis;11-mar-16;Nella ricorrenza del XVII centenario del Martirio del Santo (316 d.C- 2016 d.C) e in concomitanza del l'Anno Giubilare Della Misericordia &#13 &#10 la Grande Festa In Onore del Santo Patrono San Biagio;Nella ricorrenza del XVII centenario del Martirio del Santo in concomitanza con l'anno giubilare della Misericordia il Parroco Mons. Giovanni Di Mauro e il Comitato Feste Patronali annunciano il programma civile dei festeggiamenti particolarmente ricco ed avvincente:&#13 &#10 Programma:&#13 &#10 28 Aprile 2016: esibizione dei concerti bandistici Citt&#224  di Bracigliano e Citt&#224  di Francavilla Fontana&#13 &#10 29 Aprile 2016: esibizione dei concerti bandistici Citt&#224  di Francavilla Fontana e Conversano &#34 Piantoni&#34 &#13 &#10 30 Aprile 2016. ore 21 30 Piazza Vittorio Veneto straordinario Evento: Anna Tatangelo in Concerto&#13 &#10 Fuochi pirotecnici a cura della Ditta D'oronzo di Guagnano &#13 &#10 Fantasmagoriche luminarie della ditta Mariano Light di Maglie&#13 &#10 Service a cura della ditta &#34 Love&#34  di San Marzano di S.G.;Avetrana;73001;TA;28-apr-16;30-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11569**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11570**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11571**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11572**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11573**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11574**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11575**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11576
CHE IERI M'ILLUSE  CHE OGGI T'ILLUDE - Balletto del Sud;semplice;0832242000 ;info@teatrokoreja.it;http://www.teatrokoreja.it/koreja/home.php;https://www.facebook.com/cantieriteatralikoreja/?fref=ts; ;pagamento;23-nov-15;Il Balletto del Sud  la nota compagnia diretta da Fredy Franzutti presenta uno spettacolo dedicato a Gabriele D&#8217 Annunzio nel quale la parola  la ;Il Balletto del Sud  la nota compagnia diretta da Fredy Franzutti presenta uno spettacolo dedicato a Gabriele D&#8217 Annunzio nel quale la parola  la musica e la danza si integrano per celebrare uno dei principali poeti e drammaturghi del &#8216 900 italiano. Il reading-concerto presenta alcune pagine tratte dalle Laudi del cielo  del mare  della terra  degli eroi e brani dal romanzo Il Fuoco. Le musiche  come in un melologo  sono di autori vicini a D&#8217 Annunzio o di altri scelti per una diretta ispirazione al testo recitato  una sorta di colonna sonora in omaggio all&#8217 arte futurista del cinema. La lettura &#232  affidata al valido attore Andrea Sirianni  il flauto &#232  suonato da Teobaldo Scardino  l&#8217 arpa da Nunzia Del Popolo. Gli interventi coreografici sono affidati ai solisti del Balletto del Sud.;Lecce;75035;LE;29-apr-16;30-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=10177
Malika Ayane alle Industrie Musicali di Maglie;semplice;3297761511;ufficiostampa@bazingaticket.com;http://www.bazingaticket.com/malika-ayane-il-29-aprile-alle-industrie-musicali-di-maglie-le/;http://www.bazingaticket.com/malika-ayane-il-29-aprile-alle-industrie-musicali-di-maglie-le/; ;pagamento;11-feb-16;Venerd&#236  29 Aprile le Industrie Musicali di Maglie (LE) ospiteranno una delle pi&#249  belle voci del panorama musicale italiano: Malika Ayane.;Dopo aver collezionato sold out in tutte le tappe del fortunatissimo &#8220 Naif Tour 2015&#8221   in cui ha deliziato i fan di tutta la penisola italiana instaurando con loro un rapporto cos&#236  diretto da condividere persino la scelta della scaletta di ogni concerto  Malika torna con &#35 naifclubtour2016  una tourn&#233 e tutta nuova  nata per scandagliare la parte pi&#249  essenziale  elettronica e randagia di Naif - disco dell'anno su itunes - ma anche per dare nuova vita a bsides e successi riarrangiati con gusto inaspettato  grazie al lavoro di Roberto Vernetti (produttore) e della stessa Malika.&#13 &#10 Sul palco ad accompagnarla i cinque musicisti storici: Carlo Gaudiello  Marco Mariniello  Leif Searcy  Stefano Brandoni e Giulia Monti.&#13 &#10 Malika Ayane &#232  riuscita in pochi anni a divenire una delle realt&#224  pi&#249  promettenti per il futuro della musica italiana  senza passare per i talent e dando vita a diverse collaborazioni con illustri artisti. &#13 &#10 Malika Ayane &#232  una straordinaria interprete  che mette d&#8217 accordo tutti e che nel precedente Tour &#232  riuscita a raccogliere infiniti consensi  promuovendo il suo ultimo album Naif e riproponendo i successi che sino ad oggi hanno reso brillante la sua ascesa nell&#8217 olimpo della musica italiana.&#13 &#10 &#13 &#10 ;Maglie;75039;LE;29-apr-16;29-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11158**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11159
PSYCHO KILLER - quanto mi dai se ti uccido?;semplice;0832246517;teatropaisiello@gmail.com;http://www.comune.lecce.it;http://www.teatropubblicopugliese.it/teatro/teatro-paisiello_60.html; ;pagamento;26-feb-16;Nasca teatri di terra / La luna nel letto&#13 &#10 di Ippolito Chiarello e Walter Spennato  tecnico Michelangelo Volpe&#13 &#10 con Ippolito Chiarello  e con Raffaele;Nasca teatri di terra / La luna nel letto&#13 &#10 di Ippolito Chiarello e Walter Spennato  tecnico Michelangelo Volpe&#13 &#10 con Ippolito Chiarello  e con Raffaele Casarano - sax  Marco Bardoscia  Stefano Rielli - contrabasso&#13 &#10 regia di MICHELANGELO CAMPANALE&#13 &#10 &#13 &#10 Uno &#34 scherzo teatrale&#34  per burlarsi della morte e denunciare la facilit&#224  con cui l&#8217 uomo ricorre all&#8217 assassinio per risolvere le sue nevrosi quotidiane. Per denunciare  con sorprendente leggerezza  l&#8217 inconsapevolezza con cui ci stiamo abituando alla violenza  riducendola a &#8220 show televisivo&#8221   business per avvocati  vetrina per falsi criminologi  meta per gite dell&#8217 orrore. Ispirato al libro &#8220 Quanto mi dai se ti uccido?&#8221  di Walter Spennato (ed. Besa)  un lavoro a cui risulta impossibile rimanere indifferenti. A ritmo di jazz lo spettatore si scopre solidale  nemico e allo stesso tempo complice del protagonista  con cui condivide un immaginario ricco di citazioni cinematografiche e musicali. Una festa collettiva che ci riporta a casa divertiti  increduli  di certo meno soli.;Lecce;75035;LE;29-apr-16;29-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11373
SOTTO UN PONTE LUNGO IL FIUME;semplice;328.3149259 - 0836.553718;teatro@comune.aradeo.le.it;http://www.teatropubblicopugliese.it/teatro/teatro-domenico-modugno_56.html;http://www.teatropubblicopugliese.it;http://www.comune.aradeo.le.it ;pagamento;05-feb-16;Compagnia Armonauti&#13 &#10 Con Ada Garofalo  Franco Manni  Salvatore Coluccia&#13 &#10 regia SALVATORE COLUCCIA&#13 &#10 &#13 &#10 Dramma in quadri che ha il merito di affrontare ;Compagnia Armonauti&#13 &#10 Con Ada Garofalo  Franco Manni  Salvatore Coluccia&#13 &#10 regia SALVATORE COLUCCIA&#13 &#10 &#13 &#10 Dramma in quadri che ha il merito di affrontare uno dei pi&#249  grandi e drammatici problemi della societ&#224  contemporanea  quello del progresso ad ogni costo.&#13 &#10 Tre personaggi che si dividono il palcoscenico da protagonisti in un vortice di continui colpi di scena.;Aradeo;75006;LE;30-apr-16;30-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11122
Concerto di Anna Tatangelo ;semplice;3478053338;g.scarciglia@libero.it;http://www.festasanbiagioavetrana.it;https://www.facebook.com/Comitato-SBiagio-Avetrana-139991909521667/?fref=ts; ;gratis;09-mar-16;Nell'ambito della Festa Patronale di San Biagio Concerto evento di Anna Tatangelo ;L'evento della tre giorni in onore del Santo Patrono San Biagio Avetrana 28/29 e 30 Aprile.Serata conclusiva 30 Aprile Concerto di Anna Tatangelo.;Avetrana;73001;TA;30-apr-16;30-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11467
Malika Ayane al Demod&#232  di Modugno (BA) il 30 Aprile;semplice;3297761511;ufficiostampa@bazingaticket.com;http://www.bazingaticket.com/il-30-aprile-al-demode-di-bari-malika-ayane/;https://www.facebook.com/events/1541753799469065/; ;pagamento;12-feb-16;Dopo il successo del suo ultimo disco  &#8220 Naif&#8221   album dell&#8217 anno su iTunes  Malika Ayane non si ferma e torna live  questa volta nei club  con tappa al Demod&#232  di Modugno (BA) sabato 30 aprile.;Dopo aver collezionato sold out in tutte le tappe del fortunatissimo &#8220 Naif Tour 2015&#8221   l'inarrestabile Malika Ayane si conferma una delle artiste pi&#249  amate d'Italia e riparte con &#35 naifclubtour2016  uno show tutto nuovo e con una scaletta ricca di sorprese.&#13 &#10 Il tour nasce per scandagliare la parte pi&#249  essenziale  elettronica e randagia di Naif  ma anche per dare nuova vita a bsides e successi riarrangiati con gusto inaspettato e grazie al lavoro di Roberto Vernetti (produttore) e della stessa Malika.&#13 &#10 &#13 &#10 Sul palco ad accompagnarla i cinque musicisti storici: Carlo Gaudiello  Marco Mariniello  Leif Searcy  Stefano Brandoni e Giulia Monti.&#13 &#10 &#13 &#10 Scritto e registrato tra Milano  Parigi e Berlino  &#8220 Naif&#8221  nasce dalla visione artistica di Malika Ayane e dal lavoro di scrittura musicale di uno straordinario team di autori internazionali e italiani. Tra i primi Shridhar Solanki (gi&#224  autore di hits per Carrie Underwood  Craig David  Natalie Imbruglia oltre che per diverse serie tv)  l&#8217 autrice top seller canadese Simon Wilcox e il francese Fran&#231 oise Villevieille  gi&#224  met&#224  del duo Elephant e a sua volta autore di hits per artisti del calibro di Vanessa Paradis. Tra i secondi alcuni tra i nomi pi&#249  promettenti del momento (Giovanni Caccamo che firma il brano sanremese  Antonio Di Martino) accanto ad alcune certezze del nostro songwriting come Matteo Buzzanca  Bungaro  Cesare Chiodo.&#13 &#10 &#13 &#10 ;Modugno;72027;BA;30-apr-16;30-apr-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11188**http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11189
MUSICA DA RIPOSTIGLIO;semplice;0832246517;teatropaisiello@gmail.com;http://www.comune.lecce.it;http://www.teatropubblicopugliese.it/teatro/teatro-paisiello_60.html; ;pagamento;26-feb-16;Con Luca Pirozzi - chitarra e voce  Luca Giacomelli &#8211  chitarre  Raffaele Toninelli &#8211  contrabbasso  Emanuele Pellegrini - batteria &#38  percussioni;Con Luca Pirozzi - chitarra e voce  Luca Giacomelli &#8211  chitarre  Raffaele Toninelli &#8211  contrabbasso  Emanuele Pellegrini - batteria &#38  percussioni&#13 &#10 &#13 &#10 L&#8217 aspirazione iniziale del gruppo era quella di affrontare il repertorio del cantautore Luca Pirozzi in chiave cameristica&#8230 ma  aimh&#232   visti i tempi che corrono e le magre che girano  la loro musica &#232  diventata&#8230  da ripostiglio!! Il gruppo sul palco diverte  improvvisa  emoziona  ma soprattutto suona e lo fa con molta freschezza e semplicit&#224 . Le atmosfere  decisamente retr&#242   cavalcano lo swing dei primi anni del secolo scorso con influenze gitane e francesi  confluiscono in sirtaky greci  fino ad impregnarsi di profumi tangheggianti  walzer e boleri  con un accurato lavoro sui testi assolutamente originali  ironici e a volte irriverenti.&#13 &#10 Il pubblico  durante il concerto  partecipa alle gags che i musicisti propongono  suda con loro perch&#232  non ci sono &#8220 trucchi&#8221   solo canzoni  strumenti e la voglia di passare una bella serata.;Lecce;75035;LE;08-mag-16;08-mag-16;*http://www.pugliaevents.viaggiareinpuglia.it/pe_newlib/image.php?x=615&y=280&o=1&img=11374
